Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
BMW 640i Gran Turismo	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	KBMXJ03.0B5X	large car	5	20	28	23	5	No	388
BMW 650i Gran Coupe	4.4	8	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ04.4N63	small car	3	18	26	21	4	No	432
BMW 650i Gran Coupe	4.4	8	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ04.4N63	small car	3	18	26	21	4	No	432
BMW 650i Gran Coupe	4.4	8	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ04.4N63	small car	3	17	25	20	4	No	448
BMW 650i Gran Coupe	4.4	8	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ04.4N63	small car	3	17	25	20	4	No	448
BMW 740e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3ULEV125	California LEV-III ULEV125	KBMXV02.0H48	large car	3	25/62	29/68	27/64	9	Yes	214
BMW 740e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B125	Federal Tier 3 Bin 125	KBMXV02.0H48	large car	3	25/62	29/68	27/64	9	Yes	214
BMW 740i	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	large car	3	21	29	24	5	No	371
BMW 740i	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	large car	3	21	29	24	5	No	371
BMW 740i	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	large car	3	20	29	23	5	No	383
BMW 740i	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	large car	3	20	29	23	5	No	383
BMW 750i	4.4	8	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ04.4N63	large car	3	18	26	21	4	No	432
BMW 750i	4.4	8	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ04.4N63	large car	3	18	26	21	4	No	432
BMW 750i	4.4	8	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ04.4N63	large car	3	17	25	20	4	No	448
BMW 750i	4.4	8	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ04.4N63	large car	3	17	25	20	4	No	448
BMW Alpina B6 Gran Coupe	4.4	8	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ04.4N63	small car	3	17	25	20	4	No	448
BMW Alpina B6 Gran Coupe	4.4	8	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ04.4N63	small car	3	17	25	20	4	No	448
BMW Alpina B7	4.4	8	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ04.4N63	large car	3	17	25	20	4	No	448
BMW Alpina B7	4.4	8	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ04.4N63	large car	3	17	25	20	4	No	448
BMW M2 Competition	3	6	AMS-7	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0S55	small car	3	17	23	19	3	No	470
BMW M2 Competition	3	6	AMS-7	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0S55	small car	3	17	23	19	3	No	470
BMW M2 Competition	3	6	Man-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0S55	small car	3	18	25	20	4	No	440
BMW M2 Competition	3	6	Man-6	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0S55	small car	3	18	25	20	4	No	440
BMW M240i Convertible	3	6	Man-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	18	27	21	4	No	413
BMW M240i Convertible	3	6	Man-6	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	18	27	21	4	No	413
BMW M240i Convertible	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	21	30	24	5	No	367
BMW M240i Convertible	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	21	30	24	5	No	367
BMW M240i Convertible	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	21	30	24	5	No	368
BMW M240i Convertible	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	21	30	24	5	No	368
BMW M240i Coupe	3	6	Man-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	18	27	21	4	No	413
BMW M240i Coupe	3	6	Man-6	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	18	27	21	4	No	413
BMW M240i Coupe	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	21	30	24	5	No	367
BMW M240i Coupe	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	21	30	24	5	No	367
BMW M240i Coupe	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	21	30	24	5	No	368
BMW M240i Coupe	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	21	30	24	5	No	368
BMW M240i Coupe M Performance	3	6	Man-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B2X	small car	3	18	27	21	4	No	413
BMW M240i Coupe M Performance	3	6	Man-6	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B2X	small car	3	18	27	21	4	No	413
